epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2779.6,1.69352,2.2504,1.36713,1.44537,0.68633,0.642,0.67385,0.33085,0.60412,0.58418,0.57473,0.18458,1.74967,1.60509,1.30819,1.55164,0.00102566,0.00102566,0.00102566
30,2873.77,1.67826,2.13368,1.32137,1.41873,0.65264,0.6226,0.65637,0.33722,0.57918,0.57795,0.56849,0.18608,1.7385,1.79143,1.33686,1.48735,0.00101049,0.00101049,0.00101049
31,2968.92,1.67352,2.1327,1.33392,1.42031,0.64755,0.65504,0.6775,0.34899,0.62659,0.59802,0.60958,0.19529,1.6805,1.68661,1.31061,1.50941,0.000994942,0.000994942,0.000994942
32,3062.53,1.61422,2.17006,1.28047,1.40244,0.67176,0.64232,0.66185,0.33725,0.62925,0.59296,0.60275,0.19432,1.71264,1.56566,1.3273,1.51477,0.000979039,0.000979039,0.000979039
33,3154.48,1.58323,2.14844,1.27011,1.38484,0.63614,0.66178,0.68239,0.34485,0.58213,0.61723,0.61963,0.20452,1.72359,1.5371,1.28104,1.51992,0.000962793,0.000962793,0.000962793
34,3249.37,1.62403,2.13525,1.30193,1.40556,0.67673,0.66029,0.68013,0.33847,0.61494,0.59748,0.59696,0.19123,1.68146,1.61953,1.3046,1.50638,0.000946219,0.000946219,0.000946219
35,3343.77,1.62019,2.13728,1.26726,1.3971,0.73559,0.65241,0.69648,0.35121,0.66412,0.63017,0.638,0.21271,1.69165,1.56292,1.26155,1.50969,0.000929335,0.000929335,0.000929335
36,3437.86,1.58814,2.11295,1.244,1.3702,0.62001,0.65499,0.67029,0.33818,0.57474,0.61995,0.61835,0.20368,1.71051,1.56699,1.27828,1.50504,0.000912157,0.000912157,0.000912157
37,3534.28,1.61662,2.10349,1.23925,1.39511,0.68238,0.65887,0.67883,0.34752,0.60848,0.60538,0.58491,0.19808,1.70447,1.58094,1.22886,1.47546,0.000894701,0.000894701,0.000894701
38,3630.74,1.56677,2.06043,1.20511,1.34707,0.7148,0.65296,0.68704,0.36273,0.65628,0.62022,0.61618,0.21186,1.6513,1.53227,1.27067,1.45107,0.000876985,0.000876985,0.000876985
39,3723.06,1.63002,2.17254,1.26403,1.39838,0.66469,0.62255,0.64224,0.31328,0.61669,0.5948,0.60046,0.19948,1.78389,1.57335,1.28021,1.52811,0.000859027,0.000859027,0.000859027
40,3816.86,1.62503,2.17249,1.28026,1.39463,0.69201,0.65008,0.6813,0.35671,0.65846,0.62008,0.63527,0.22203,1.73654,1.52013,1.22018,1.50726,0.000840844,0.000840844,0.000840844
41,3912.43,1.63021,2.14149,1.24128,1.37237,0.72321,0.68005,0.6991,0.35902,0.69777,0.62965,0.63248,0.21434,1.69532,1.56635,1.22003,1.46983,0.000822454,0.000822454,0.000822454
42,4008.26,1.61885,2.14148,1.26594,1.39729,0.63369,0.66524,0.67012,0.33648,0.59865,0.58928,0.58847,0.20224,1.70979,1.56718,1.26075,1.50222,0.000803876,0.000803876,0.000803876
43,4100.43,1.61554,2.11162,1.26241,1.39984,0.65619,0.66722,0.6985,0.36886,0.57577,0.61439,0.59686,0.21826,1.67014,1.53562,1.23606,1.47194,0.000785127,0.000785127,0.000785127
44,4195.01,1.56664,2.07452,1.22895,1.36656,0.7173,0.67873,0.71475,0.36716,0.68776,0.6314,0.65632,0.22619,1.68549,1.56859,1.24891,1.45797,0.000766226,0.000766226,0.000766226
45,4292.6,1.5697,2.13564,1.20578,1.36098,0.69772,0.66044,0.70206,0.36297,0.59373,0.64812,0.62321,0.22039,1.66474,1.55099,1.16938,1.48157,0.000747192,0.000747192,0.000747192
46,4388.54,1.50357,2.05364,1.16363,1.33132,0.71166,0.67548,0.71317,0.36222,0.67752,0.64741,0.66868,0.23249,1.68836,1.51234,1.19678,1.49445,0.000728044,0.000728044,0.000728044
47,4482.74,1.53481,1.97017,1.15606,1.34416,0.71578,0.65414,0.68643,0.34456,0.67424,0.62572,0.6432,0.21207,1.67929,1.59145,1.2462,1.49347,0.0007088,0.0007088,0.0007088
48,4579.13,1.54929,2.00007,1.1747,1.33794,0.71366,0.66264,0.7011,0.36614,0.63659,0.62081,0.62751,0.22257,1.67896,1.54695,1.20479,1.472,0.00068948,0.00068948,0.00068948
49,4673.55,1.49301,1.98554,1.11147,1.3167,0.73794,0.65721,0.70618,0.37136,0.69879,0.63186,0.67378,0.23899,1.68834,1.51067,1.17597,1.49542,0.000670102,0.000670102,0.000670102
50,4767.15,1.526,2.03853,1.1504,1.34714,0.71927,0.69816,0.71894,0.38083,0.628,0.6175,0.59032,0.19855,1.64721,1.61699,1.14777,1.47709,0.000650685,0.000650685,0.000650685
51,4859.22,1.49874,1.98383,1.12041,1.31371,0.72116,0.70523,0.73412,0.38154,0.66065,0.64305,0.6358,0.22553,1.64414,1.54466,1.13863,1.46197,0.00063125,0.00063125,0.00063125
52,4951.61,1.52631,1.99179,1.12613,1.32591,0.75986,0.69911,0.73167,0.38309,0.72652,0.66948,0.68852,0.24327,1.60357,1.48917,1.11319,1.43441,0.000611815,0.000611815,0.000611815
53,5046.33,1.53065,2.0599,1.14698,1.33762,0.73045,0.69646,0.73597,0.38438,0.67478,0.64919,0.65486,0.23593,1.62526,1.39742,1.13162,1.44078,0.000592398,0.000592398,0.000592398
54,5138.99,1.46619,1.98832,1.10616,1.31197,0.72777,0.70665,0.7395,0.38057,0.69661,0.67624,0.69901,0.24377,1.63512,1.43666,1.14769,1.45546,0.00057302,0.00057302,0.00057302
55,5232.51,1.47589,1.99143,1.1038,1.3103,0.71929,0.68785,0.72905,0.39388,0.68732,0.66791,0.6933,0.24917,1.6053,1.49128,1.11735,1.41589,0.0005537,0.0005537,0.0005537
56,5329.67,1.47529,1.95862,1.08093,1.30827,0.71032,0.70764,0.73169,0.35915,0.6778,0.675,0.68495,0.25102,1.64001,1.45834,1.13932,1.45162,0.000534456,0.000534456,0.000534456
57,5425.77,1.50637,1.99444,1.12695,1.33758,0.67578,0.68954,0.72505,0.3863,0.66283,0.66069,0.69092,0.25622,1.60213,1.49258,1.11601,1.42204,0.000515308,0.000515308,0.000515308
58,5516.11,1.47594,1.9237,1.09612,1.31139,0.74508,0.70492,0.7487,0.40631,0.67568,0.64342,0.65077,0.22751,1.57335,1.48451,1.08427,1.40872,0.000496274,0.000496274,0.000496274
59,5609.74,1.46508,1.9693,1.10241,1.30065,0.72234,0.73164,0.74648,0.40006,0.69596,0.69579,0.7116,0.25924,1.57546,1.44623,1.07414,1.43118,0.000477373,0.000477373,0.000477373
60,5703.05,1.42157,1.9019,1.06598,1.28622,0.76779,0.67588,0.73166,0.39468,0.73838,0.64636,0.68931,0.2643,1.59942,1.41774,1.10662,1.43389,0.000458624,0.000458624,0.000458624
61,5797.99,1.49905,1.92153,1.11314,1.33396,0.71369,0.70972,0.73184,0.39469,0.66632,0.7104,0.70279,0.26382,1.57696,1.45395,1.10982,1.42127,0.000440046,0.000440046,0.000440046
62,5890.57,1.41048,1.88913,1.03756,1.28299,0.77559,0.70868,0.74812,0.40461,0.711,0.66644,0.68874,0.26213,1.57398,1.36603,1.04919,1.42683,0.000421656,0.000421656,0.000421656
63,5983.65,1.42976,1.87699,1.04581,1.27039,0.7457,0.72505,0.74419,0.4022,0.70036,0.6868,0.69158,0.26109,1.58008,1.45968,1.0539,1.42245,0.000403473,0.000403473,0.000403473
64,6073.82,1.42524,1.87771,1.03979,1.2851,0.76491,0.70303,0.75477,0.39892,0.71139,0.66305,0.71021,0.2631,1.56815,1.4548,1.08218,1.41582,0.000385515,0.000385515,0.000385515
65,6167.6,1.43499,1.89382,1.04168,1.29299,0.75346,0.73372,0.75947,0.40764,0.7303,0.68824,0.7076,0.27197,1.56043,1.40819,1.04695,1.40585,0.000367799,0.000367799,0.000367799
66,6261.48,1.44395,1.90797,1.04958,1.28591,0.75628,0.73123,0.75905,0.40927,0.71739,0.70538,0.71128,0.27196,1.54359,1.43648,1.04251,1.41077,0.000350343,0.000350343,0.000350343
67,6355.44,1.40056,1.85274,1.01149,1.25571,0.75581,0.71089,0.74684,0.4051,0.71865,0.67874,0.69959,0.26656,1.5408,1.40462,1.06613,1.39981,0.000333165,0.000333165,0.000333165
68,6448.26,1.37926,1.8799,1.0065,1.25459,0.73934,0.71358,0.74607,0.39927,0.67953,0.68002,0.67585,0.25124,1.56646,1.49689,1.05816,1.40787,0.000316281,0.000316281,0.000316281
69,6540.03,1.40678,1.85448,1.00724,1.27433,0.68998,0.74211,0.74316,0.41697,0.649,0.72411,0.70785,0.27202,1.51477,1.34613,1.03598,1.37665,0.000299707,0.000299707,0.000299707
70,6633.55,1.38234,1.8185,0.98096,1.24331,0.72975,0.73791,0.75536,0.42138,0.7061,0.72811,0.73894,0.29149,1.50135,1.38231,1.02305,1.36225,0.000283461,0.000283461,0.000283461
71,6724.23,1.35185,1.82656,0.97771,1.25343,0.72609,0.72015,0.73996,0.41163,0.6841,0.6915,0.69496,0.27096,1.5388,1.37467,1.03468,1.38239,0.000267558,0.000267558,0.000267558
72,6817.08,1.3537,1.84107,0.9593,1.23631,0.71868,0.73615,0.75037,0.41416,0.67835,0.68966,0.69391,0.27272,1.51455,1.42139,1.02485,1.36779,0.000252014,0.000252014,0.000252014
73,6909.62,1.34953,1.78493,0.95759,1.24847,0.75867,0.72437,0.74817,0.41344,0.72126,0.69952,0.70836,0.2713,1.52159,1.37718,1.01066,1.37948,0.000236844,0.000236844,0.000236844
74,7001.92,1.36953,1.84824,1.00819,1.2427,0.74465,0.74247,0.75945,0.41928,0.70199,0.70602,0.71008,0.28373,1.50796,1.40154,1.01756,1.35878,0.000222063,0.000222063,0.000222063
75,7093.08,1.33551,1.80801,0.95812,1.24555,0.74931,0.7387,0.75376,0.41257,0.70308,0.6994,0.70267,0.28044,1.52469,1.37943,1.02838,1.37105,0.000207686,0.000207686,0.000207686
76,7186.43,1.35108,1.81871,0.98909,1.24825,0.70848,0.74679,0.75502,0.42176,0.66519,0.708,0.70538,0.28257,1.51059,1.35321,1.02202,1.3701,0.000193728,0.000193728,0.000193728
77,7279.16,1.33992,1.7991,0.95124,1.22562,0.77397,0.72728,0.76053,0.42471,0.70051,0.69334,0.69593,0.2757,1.52422,1.36904,1.00328,1.38669,0.000180201,0.000180201,0.000180201
78,7372.35,1.32388,1.78762,0.95266,1.21846,0.78426,0.72813,0.76782,0.4162,0.72375,0.67827,0.7005,0.28082,1.52306,1.37938,0.99264,1.37923,0.000167119,0.000167119,0.000167119
79,7464.14,1.34361,1.80848,0.95785,1.2333,0.76184,0.74399,0.76292,0.42025,0.71022,0.69957,0.70227,0.27884,1.49412,1.37812,0.9906,1.36079,0.000154495,0.000154495,0.000154495
80,7556.12,1.35672,1.78296,0.95136,1.2478,0.77994,0.73338,0.76592,0.42114,0.71282,0.70269,0.70009,0.27656,1.49126,1.37571,0.99305,1.36703,0.000142342,0.000142342,0.000142342
81,7649.55,1.29044,1.80476,0.93033,1.21809,0.7622,0.72207,0.75939,0.42028,0.698,0.71345,0.71111,0.27904,1.50658,1.37365,1.00186,1.37265,0.000130671,0.000130671,0.000130671
82,7750.56,1.33227,1.80193,0.94977,1.22907,0.74749,0.74102,0.76604,0.42445,0.69236,0.71065,0.71203,0.28197,1.51079,1.37975,0.99403,1.3769,0.000119494,0.000119494,0.000119494
83,7842.59,1.31846,1.77891,0.94509,1.22554,0.74401,0.74753,0.76885,0.4269,0.70682,0.73087,0.72546,0.28425,1.49594,1.35453,0.98866,1.36316,0.000108822,0.000108822,0.000108822
84,7934.4,1.32465,1.78673,0.93839,1.22022,0.76458,0.74632,0.76857,0.42837,0.72115,0.70741,0.71672,0.28799,1.47928,1.36523,0.98024,1.36072,9.86659e-05,9.86659e-05,9.86659e-05
85,8024.91,1.24625,1.75833,0.88476,1.2012,0.78379,0.73203,0.76782,0.427,0.72056,0.70888,0.71246,0.28716,1.48514,1.32647,0.98293,1.35408,8.90352e-05,8.90352e-05,8.90352e-05
86,8116.48,1.28346,1.74243,0.89706,1.21498,0.74556,0.7467,0.76682,0.42969,0.70669,0.71397,0.71552,0.29241,1.47582,1.34043,0.97441,1.34502,7.99397e-05,7.99397e-05,7.99397e-05
87,8210.59,1.3073,1.72953,0.9138,1.21615,0.75763,0.74366,0.76414,0.43112,0.71261,0.73248,0.71491,0.28734,1.47577,1.34245,0.97806,1.34613,7.13883e-05,7.13883e-05,7.13883e-05
88,8304.86,1.2824,1.75217,0.90977,1.19923,0.75872,0.75366,0.76443,0.42929,0.71604,0.72101,0.7131,0.29118,1.47831,1.33559,0.97608,1.35888,6.33893e-05,6.33893e-05,6.33893e-05
89,8402.02,1.27689,1.7456,0.9016,1.19442,0.74964,0.74804,0.76286,0.43109,0.71421,0.72338,0.71523,0.29635,1.47644,1.34156,0.96823,1.3584,5.59508e-05,5.59508e-05,5.59508e-05
90,8496.86,1.24623,1.69989,0.87878,1.19621,0.73733,0.74873,0.76273,0.43468,0.70116,0.71765,0.70742,0.29478,1.46561,1.34801,0.96962,1.35333,4.908e-05,4.908e-05,4.908e-05
91,8584.46,1.22776,1.3827,0.87253,1.21644,0.75261,0.74878,0.76625,0.43172,0.72026,0.73355,0.73005,0.29445,1.46941,1.33745,0.96955,1.36229,4.27838e-05,4.27838e-05,4.27838e-05
92,8668.97,1.24504,1.327,0.8653,1.2214,0.75947,0.74159,0.76609,0.42716,0.72514,0.72363,0.72797,0.28942,1.47634,1.31503,0.97002,1.36824,3.70683e-05,3.70683e-05,3.70683e-05
93,8753.41,1.22134,1.3322,0.8513,1.20601,0.74853,0.75263,0.76561,0.43109,0.71899,0.72954,0.7301,0.28548,1.47955,1.31268,0.97148,1.3699,3.19392e-05,3.19392e-05,3.19392e-05
94,8837.58,1.23395,1.33612,0.84996,1.21355,0.75002,0.745,0.76093,0.43493,0.71852,0.72512,0.72535,0.28821,1.47542,1.30668,0.97279,1.36113,2.74015e-05,2.74015e-05,2.74015e-05
95,8921.6,1.20912,1.3662,0.83479,1.19444,0.75414,0.74567,0.76591,0.43304,0.7199,0.73,0.72506,0.2902,1.47391,1.30809,0.96923,1.36074,2.34598e-05,2.34598e-05,2.34598e-05
96,9006.43,1.20987,1.29732,0.84425,1.20041,0.7728,0.74852,0.76999,0.43486,0.72845,0.7278,0.73644,0.29592,1.47629,1.30155,0.97305,1.3595,2.01178e-05,2.01178e-05,2.01178e-05
97,9090.66,1.20951,1.28685,0.82399,1.20248,0.77553,0.74678,0.76866,0.43467,0.7252,0.72687,0.73163,0.29784,1.47172,1.30134,0.97308,1.35456,1.7379e-05,1.7379e-05,1.7379e-05
98,9174.8,1.20774,1.32378,0.84601,1.19911,0.77223,0.74489,0.76742,0.43591,0.72989,0.72518,0.73573,0.30138,1.46666,1.30483,0.96645,1.35074,1.5246e-05,1.5246e-05,1.5246e-05
99,9262.09,1.20145,1.30594,0.83693,1.20936,0.78934,0.74475,0.77041,0.43789,0.74678,0.71331,0.72943,0.29956,1.46523,1.31271,0.96518,1.34848,1.3721e-05,1.3721e-05,1.3721e-05
100,9349.98,1.19251,1.27021,0.81849,1.19382,0.78339,0.74203,0.77129,0.4401,0.73852,0.71965,0.73108,0.30257,1.46293,1.30995,0.96171,1.35104,1.28053e-05,1.28053e-05,1.28053e-05
