epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,1218.44,1.86687,2.38503,1.64565,1.5432,0.57345,0.61614,0.59498,0.27106,0.44078,0.49509,0.43908,0.1219,1.85716,1.81064,1.71436,1.65394,0.00112625,0.00112625,0.00112625
12,1329.01,1.80419,2.42306,1.55955,1.51746,0.52997,0.53281,0.56118,0.2556,0.49345,0.42743,0.42914,0.12965,1.89863,1.85014,1.70746,1.7079,0.00111388,0.00111388,0.00111388
13,1441.78,1.82421,2.38931,1.58193,1.51976,0.72607,0.62096,0.6385,0.30459,0.62341,0.51106,0.50797,0.16194,1.80756,1.69811,1.60209,1.63346,0.0011015,0.0011015,0.0011015
14,1549.89,1.80929,2.36915,1.55993,1.5081,0.61509,0.58154,0.61697,0.29706,0.54571,0.48131,0.50239,0.16431,1.80567,1.74246,1.61315,1.62641,0.00108913,0.00108913,0.00108913
15,1660.4,1.77402,2.3436,1.53231,1.49441,0.50592,0.59831,0.59415,0.29124,0.49514,0.5112,0.49337,0.14859,1.79827,1.81167,1.64621,1.61516,0.00107675,0.00107675,0.00107675
16,1770.25,1.74125,2.32722,1.46672,1.46611,0.64953,0.60389,0.65867,0.32974,0.57229,0.52262,0.55725,0.18502,1.79022,1.67087,1.4638,1.61057,0.00106437,0.00106437,0.00106437
17,1882.2,1.79773,2.36349,1.47052,1.50959,0.56423,0.61091,0.61631,0.29747,0.54178,0.57683,0.55693,0.17088,1.77811,1.6991,1.48897,1.62113,0.001052,0.001052,0.001052
18,1993.36,1.74539,2.27804,1.45873,1.47973,0.60567,0.54591,0.62719,0.31123,0.46207,0.45347,0.48929,0.16525,1.81016,1.93265,1.50795,1.6288,0.00103962,0.00103962,0.00103962
19,2104,1.75234,2.25322,1.4024,1.4817,0.6913,0.57676,0.63366,0.3053,0.53002,0.45057,0.44106,0.13918,1.80213,1.87626,1.5102,1.64677,0.00102725,0.00102725,0.00102725
20,2209.99,1.70075,2.25659,1.37194,1.44127,0.68464,0.60981,0.68074,0.32734,0.62592,0.54749,0.57823,0.16223,1.72884,1.63333,1.43107,1.61153,0.00101488,0.00101488,0.00101488
21,2317.8,1.70927,2.24639,1.37239,1.45034,0.67649,0.62215,0.67224,0.33488,0.57974,0.50978,0.48024,0.16781,1.6882,1.75282,1.38809,1.54316,0.0010025,0.0010025,0.0010025
22,2429.45,1.68804,2.23644,1.36031,1.44111,0.65927,0.66826,0.6966,0.30829,0.57908,0.57764,0.5697,0.1715,1.85191,1.70511,1.37646,1.65289,0.000990125,0.000990125,0.000990125
23,2539.58,1.73601,2.29473,1.4031,1.46222,0.59462,0.65495,0.68838,0.34527,0.51017,0.60373,0.56249,0.18763,1.72474,1.64311,1.36064,1.62556,0.00097775,0.00097775,0.00097775
24,2649.3,1.68879,2.2825,1.34803,1.43196,0.60214,0.55841,0.61275,0.29387,0.51874,0.38147,0.39332,0.12087,1.80806,2.06373,1.59079,1.60438,0.000965375,0.000965375,0.000965375
25,2759.03,1.65925,2.22193,1.31616,1.41431,0.63253,0.71203,0.69643,0.32452,0.53624,0.60024,0.5562,0.16713,1.74419,1.73583,1.35849,1.60654,0.000953,0.000953,0.000953
26,2867.84,1.66743,2.21321,1.31264,1.42014,0.63194,0.67407,0.6927,0.318,0.54123,0.57334,0.55249,0.16104,1.78704,1.61832,1.40949,1.60892,0.000940625,0.000940625,0.000940625
27,2979.14,1.66855,2.24606,1.34948,1.43375,0.66196,0.64577,0.6808,0.33721,0.61898,0.57062,0.59694,0.19071,1.68654,1.61048,1.40138,1.531,0.00092825,0.00092825,0.00092825
28,3092.44,1.65616,2.19233,1.31045,1.42169,0.6624,0.62207,0.6558,0.32429,0.58569,0.5041,0.53007,0.1781,1.71582,1.76206,1.34113,1.54457,0.000915875,0.000915875,0.000915875
29,3198.17,1.65669,2.16589,1.26243,1.41525,0.70621,0.64486,0.70194,0.33057,0.63272,0.56595,0.58442,0.19049,1.70988,1.56796,1.30809,1.55696,0.0009035,0.0009035,0.0009035
30,3306.95,1.66926,2.2096,1.30653,1.41581,0.69608,0.67837,0.708,0.35377,0.6197,0.60463,0.60928,0.20711,1.67357,1.58128,1.33073,1.52998,0.000891125,0.000891125,0.000891125
31,3416.87,1.61675,2.16468,1.25506,1.40421,0.70757,0.6647,0.7155,0.36011,0.62879,0.60342,0.62349,0.21707,1.64907,1.55647,1.28177,1.51846,0.00087875,0.00087875,0.00087875
32,3527.86,1.62254,2.1732,1.26554,1.41925,0.66284,0.6834,0.69006,0.34954,0.57511,0.59394,0.58112,0.18784,1.7526,1.65432,1.30774,1.57186,0.000866375,0.000866375,0.000866375
33,3640.84,1.60032,2.16554,1.24451,1.39462,0.62645,0.66154,0.68196,0.3476,0.57748,0.56159,0.55627,0.20062,1.66268,1.62421,1.38256,1.51481,0.000854,0.000854,0.000854
34,3752.65,1.57742,2.14512,1.2104,1.3862,0.64723,0.66403,0.67562,0.32322,0.5507,0.49386,0.48956,0.16433,1.7321,2.04127,1.41971,1.55494,0.000841625,0.000841625,0.000841625
35,3863.26,1.61863,2.13706,1.22711,1.38585,0.7106,0.67054,0.72742,0.36011,0.6261,0.57795,0.58915,0.19816,1.69155,1.63541,1.23945,1.53768,0.00082925,0.00082925,0.00082925
36,3973.49,1.63194,2.14552,1.26525,1.41609,0.69243,0.67153,0.71186,0.34851,0.5854,0.57101,0.57005,0.19327,1.73102,1.64893,1.26233,1.53959,0.000816875,0.000816875,0.000816875
37,4084.59,1.58152,2.08869,1.21396,1.39947,0.67604,0.72989,0.73416,0.36385,0.59302,0.64322,0.60604,0.19851,1.63443,1.57292,1.33677,1.5094,0.0008045,0.0008045,0.0008045
38,4190.43,1.5867,2.11068,1.20824,1.38247,0.60156,0.68872,0.68623,0.34894,0.62547,0.5882,0.61214,0.20374,1.64063,1.61029,1.26873,1.50189,0.000792125,0.000792125,0.000792125
39,4301.81,1.57066,2.11869,1.19774,1.37073,0.73373,0.71556,0.75142,0.36826,0.62237,0.63535,0.62109,0.20058,1.66351,1.65101,1.26497,1.53236,0.00077975,0.00077975,0.00077975
40,4408.44,1.5677,2.06231,1.20058,1.37601,0.696,0.67955,0.70658,0.34323,0.58495,0.58096,0.58576,0.19513,1.71622,1.62175,1.24607,1.55991,0.000767375,0.000767375,0.000767375
41,4518.92,1.59027,2.08964,1.19812,1.37892,0.65892,0.70688,0.70246,0.36544,0.59866,0.60471,0.60304,0.21199,1.65088,1.59492,1.33349,1.55274,0.000755,0.000755,0.000755
42,4624.95,1.53921,2.06361,1.18078,1.36517,0.7088,0.70838,0.71159,0.3534,0.62577,0.62108,0.60442,0.20731,1.71469,1.54501,1.22726,1.57118,0.000742625,0.000742625,0.000742625
43,4731.85,1.59968,2.08314,1.20406,1.39082,0.74568,0.68311,0.73002,0.35973,0.67444,0.64211,0.65796,0.21452,1.67266,1.52469,1.2238,1.52014,0.00073025,0.00073025,0.00073025
44,4847.45,1.58795,2.02426,1.18907,1.37607,0.67245,0.72767,0.73384,0.37449,0.59666,0.61382,0.61365,0.20347,1.66795,1.7319,1.18694,1.54675,0.000717875,0.000717875,0.000717875
45,4955.31,1.56063,2.06077,1.16584,1.37516,0.71054,0.72326,0.74039,0.36882,0.6195,0.63328,0.6372,0.22458,1.67246,1.53494,1.23354,1.51614,0.0007055,0.0007055,0.0007055
46,5062.52,1.52892,2.02477,1.14448,1.35264,0.76024,0.70697,0.76103,0.38791,0.66208,0.60924,0.64833,0.23493,1.60694,1.55576,1.18251,1.48596,0.000693125,0.000693125,0.000693125
47,5174.91,1.52951,2.10586,1.14983,1.3516,0.69429,0.68868,0.73007,0.3683,0.66344,0.61253,0.62167,0.22332,1.6793,1.57378,1.20646,1.54652,0.00068075,0.00068075,0.00068075
48,5283.81,1.51194,2.00157,1.11432,1.34377,0.70831,0.71204,0.73133,0.37468,0.64466,0.59436,0.60833,0.21097,1.64231,1.61846,1.17401,1.53072,0.000668375,0.000668375,0.000668375
49,5393.37,1.52721,2.05845,1.11878,1.33963,0.67935,0.69132,0.71962,0.36194,0.56343,0.57147,0.54709,0.17817,1.67549,1.82251,1.24551,1.53289,0.000656,0.000656,0.000656
50,5503.99,1.5423,2.04167,1.16,1.38091,0.66541,0.68383,0.69704,0.3549,0.56891,0.59039,0.58372,0.20296,1.67838,1.59315,1.20537,1.51793,0.000643625,0.000643625,0.000643625
51,5612.13,1.56004,2.08151,1.14909,1.3479,0.6724,0.69633,0.72964,0.36143,0.47761,0.57107,0.5262,0.17046,1.65485,1.90589,1.17773,1.51429,0.00063125,0.00063125,0.00063125
52,5721.48,1.48508,1.96379,1.10644,1.33258,0.69279,0.71138,0.71759,0.36755,0.6332,0.6534,0.61472,0.22111,1.6102,1.54871,1.18281,1.49678,0.000618875,0.000618875,0.000618875
53,5831.44,1.49568,1.96476,1.10856,1.3323,0.75597,0.65456,0.72248,0.3706,0.67819,0.58007,0.6263,0.23493,1.66278,1.47816,1.19868,1.50789,0.0006065,0.0006065,0.0006065
54,5940.2,1.50583,2.00233,1.12165,1.35004,0.69986,0.74692,0.73431,0.3829,0.63687,0.66605,0.64332,0.22371,1.60932,1.49647,1.21761,1.49565,0.000594125,0.000594125,0.000594125
55,6054.66,1.48112,1.97946,1.11303,1.32541,0.69802,0.71185,0.72406,0.37706,0.61543,0.61892,0.60966,0.23112,1.59532,1.52557,1.19821,1.48725,0.00058175,0.00058175,0.00058175
56,6168.65,1.45665,1.94403,1.08302,1.31117,0.69198,0.71646,0.70706,0.36387,0.60708,0.63401,0.63641,0.22649,1.6355,1.54833,1.1767,1.50126,0.000569375,0.000569375,0.000569375
57,6278.38,1.4733,1.97776,1.06706,1.31414,0.71757,0.7087,0.72886,0.37639,0.68407,0.66575,0.68607,0.23415,1.67716,1.49378,1.1746,1.52311,0.000557,0.000557,0.000557
58,6394.19,1.49799,1.93597,1.08632,1.32596,0.69357,0.72092,0.72536,0.37313,0.64472,0.68269,0.68539,0.23435,1.64124,1.51175,1.18185,1.5152,0.000544625,0.000544625,0.000544625
59,6505.24,1.48972,1.99462,1.06117,1.3166,0.69403,0.74753,0.74693,0.37723,0.60351,0.68941,0.64187,0.22016,1.64524,1.47641,1.16166,1.53446,0.00053225,0.00053225,0.00053225
60,6615.71,1.47948,1.90554,1.05542,1.30394,0.69826,0.71434,0.74099,0.36779,0.63382,0.65021,0.65356,0.21766,1.63521,1.47301,1.16315,1.5119,0.000519875,0.000519875,0.000519875
61,6724.89,1.47021,1.9357,1.07322,1.302,0.72129,0.70202,0.73024,0.37884,0.6418,0.64337,0.64681,0.22547,1.61403,1.58374,1.16263,1.50798,0.0005075,0.0005075,0.0005075
62,6835.84,1.4661,1.93662,1.06928,1.31342,0.69543,0.72468,0.72844,0.37277,0.59163,0.63349,0.61228,0.2164,1.6506,1.58864,1.20927,1.51651,0.000495125,0.000495125,0.000495125
63,6941.8,1.44761,1.96438,1.05736,1.29559,0.70654,0.70787,0.71109,0.35951,0.64928,0.64601,0.62489,0.21167,1.6644,1.59724,1.23385,1.53493,0.00048275,0.00048275,0.00048275
64,7052.29,1.46097,1.89411,1.06688,1.30118,0.67909,0.73131,0.7315,0.37541,0.62654,0.68421,0.67244,0.24834,1.66785,1.50912,1.15265,1.55009,0.000470375,0.000470375,0.000470375
65,7159.86,1.44578,1.91443,1.05697,1.30275,0.71061,0.70911,0.73,0.37119,0.66955,0.67251,0.66382,0.23013,1.64554,1.55797,1.17246,1.5524,0.000458,0.000458,0.000458
66,7269.03,1.45024,1.91826,1.03915,1.29765,0.72412,0.70549,0.70575,0.35882,0.65548,0.66484,0.65012,0.23032,1.63155,1.47992,1.17198,1.51618,0.000445625,0.000445625,0.000445625
67,7380.98,1.43359,1.87339,1.0326,1.27894,0.71986,0.71559,0.72127,0.36287,0.63891,0.65611,0.63544,0.22564,1.6655,1.54372,1.18197,1.55338,0.00043325,0.00043325,0.00043325
68,7491.79,1.42602,1.91155,1.01915,1.28404,0.67971,0.69633,0.69189,0.3583,0.5915,0.62107,0.61056,0.20845,1.67041,1.70798,1.16665,1.56098,0.000420875,0.000420875,0.000420875
69,7602.32,1.4187,1.89931,1.01264,1.28008,0.72959,0.72638,0.71039,0.37392,0.68449,0.6578,0.64368,0.2256,1.62233,1.5707,1.17779,1.53045,0.0004085,0.0004085,0.0004085
70,7714.4,1.41592,1.85088,1.01977,1.28531,0.73011,0.72477,0.71377,0.35423,0.66047,0.69163,0.64884,0.22942,1.61586,1.55727,1.1707,1.53166,0.000396125,0.000396125,0.000396125
71,7825.82,1.42003,1.8542,1.00393,1.27919,0.72424,0.72182,0.72753,0.36091,0.63232,0.68184,0.63416,0.22094,1.63478,1.51356,1.14983,1.52844,0.00038375,0.00038375,0.00038375
72,7938.34,1.4007,1.93584,0.99912,1.27002,0.70669,0.70487,0.70767,0.34872,0.65552,0.65663,0.61954,0.21381,1.69426,1.5606,1.19803,1.5763,0.000371375,0.000371375,0.000371375
73,8048.94,1.41916,1.88318,1.01306,1.28796,0.72702,0.7147,0.71515,0.3592,0.64434,0.64472,0.61918,0.21378,1.65324,1.54191,1.15279,1.56392,0.000359,0.000359,0.000359
74,8162.11,1.37817,1.84919,0.99252,1.26952,0.72105,0.74199,0.71425,0.36195,0.64563,0.68887,0.63512,0.21214,1.63904,1.53206,1.16279,1.52196,0.000346625,0.000346625,0.000346625
75,8275.57,1.39022,1.88471,0.97825,1.26626,0.72996,0.74497,0.74582,0.374,0.66745,0.68772,0.65626,0.22996,1.62347,1.55705,1.12803,1.54211,0.00033425,0.00033425,0.00033425
76,8384.98,1.38879,1.85621,0.96702,1.26146,0.72059,0.72081,0.76278,0.38602,0.70167,0.66486,0.67288,0.24741,1.64448,1.53322,1.14249,1.55558,0.000321875,0.000321875,0.000321875
77,8494.04,1.36752,1.81163,0.95444,1.25884,0.73985,0.69914,0.7226,0.37532,0.66101,0.66412,0.63706,0.22778,1.63508,1.50323,1.15583,1.55348,0.0003095,0.0003095,0.0003095
78,8605.35,1.38747,1.85109,0.98264,1.27259,0.72002,0.74006,0.72969,0.37403,0.67496,0.69552,0.64649,0.25251,1.63083,1.46035,1.17004,1.53528,0.000297125,0.000297125,0.000297125
79,8714.37,1.36659,1.80539,0.94723,1.25175,0.72922,0.68836,0.70923,0.35118,0.66002,0.66274,0.62077,0.22263,1.65634,1.46088,1.15207,1.55268,0.00028475,0.00028475,0.00028475
