epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.773,2.18112,3.64334,3.45387,1.87158,0.8768,0.15992,0.22258,0.09939,0.67201,0.07727,0.07145,0.01186,2.20621,3.35968,3.67643,1.93302,0.000411985,0.000411985,0.000411985
2,222.012,2.08392,2.81452,2.53501,1.7036,0.33315,0.43022,0.35334,0.13366,0.26845,0.32287,0.25615,0.06799,2.07947,2.50224,3.10352,1.88438,0.000820448,0.000820448,0.000820448
3,333.479,2.01379,2.65838,2.25295,1.7061,0.39565,0.49184,0.37898,0.15525,0.31568,0.40026,0.27447,0.07536,2.08912,2.14789,3.43925,1.95366,0.00122066,0.00122066,0.00122066
4,444.87,2.0231,2.69061,2.14518,1.66864,0.40043,0.50685,0.40278,0.16024,0.29538,0.39938,0.25365,0.07274,2.05883,2.52759,2.77983,1.896,0.00121287,0.00121287,0.00121287
5,553.507,1.94619,2.65506,2.00057,1.62371,0.51412,0.53914,0.5181,0.22595,0.41954,0.42101,0.3486,0.09368,2.01755,2.22129,2.24254,1.8547,0.0012005,0.0012005,0.0012005
6,665.165,1.97571,2.59208,1.95469,1.62638,0.54925,0.48929,0.5042,0.20697,0.39145,0.35375,0.29986,0.07626,2.09189,2.35987,2.59033,1.88336,0.00118812,0.00118812,0.00118812
7,776.426,1.91211,2.58995,1.84176,1.59365,0.40422,0.52526,0.45129,0.18946,0.35334,0.47609,0.36435,0.09769,1.97871,2.21511,2.05253,1.77714,0.00117575,0.00117575,0.00117575
8,888.394,1.90289,2.51842,1.82018,1.57109,0.66501,0.55766,0.61767,0.26765,0.59077,0.46667,0.48954,0.16096,1.91699,2.01065,1.98379,1.72375,0.00116337,0.00116337,0.00116337
9,999.04,1.8675,2.60848,1.73884,1.5737,0.5469,0.54623,0.55378,0.24016,0.45232,0.44327,0.41245,0.11597,2.05849,2.10234,1.83488,1.83233,0.001151,0.001151,0.001151
10,1107.85,1.85467,2.42124,1.67735,1.54926,0.67962,0.56615,0.59905,0.27163,0.64478,0.43788,0.44233,0.12586,1.8881,1.81816,1.73765,1.69501,0.00113863,0.00113863,0.00113863
